,year,locality,estimated value ($),sale Price ($),property,residential,num_rooms,num_bathrooms,carpet_area_sq_ft,property_tax_rate,face,month_name,difference,Season,house_age
113,2009,Waterbury,63010.0,100000.0,,Detached House,3,2,952.0,1.025953,South,February,-36990.0,Winter,15
114,2009,Greenwich,653450.0,1250000.0,Single Family,Detached House,3,2,932.0,1.025953,South,February,-596550.0,Winter,15
115,2009,Waterbury,47050.0,96400.0,Single Family,Detached House,3,1,913.0,1.025953,West,February,-49350.0,Winter,15
116,2009,Greenwich,2844800.0,5625000.0,,Detached House,3,2,1067.0,1.025953,West,February,-2780200.0,Winter,15
118,2009,Bridgeport,56000.0,240000.0,Single Family,Detached House,3,2,959.0,1.025953,South,February,-184000.0,Winter,15
119,2009,Waterbury,91210.0,212300.0,,Triplex,6,6,1928.0,1.025953,South,February,-121090.0,Winter,15
121,2009,Norwalk,649530.0,1049000.0,,Detached House,3,2,1100.0,1.025953,West,February,-399470.0,Winter,15
122,2009,Waterbury,52510.0,121500.0,Two Family,Duplex,4,4,1487.0,1.025953,West,February,-68990.0,Winter,15
123,2009,Fairfield,221060.0,300000.0,Single Family,Detached House,3,3,1009.0,1.025953,North,February,-78940.0,Winter,15
124,2009,Waterbury,59010.0,230000.0,Three Family,Triplex,6,5,2041.0,1.025953,North,February,-170990.0,Winter,15
126,2009,Greenwich,608720.0,826000.0,Two Family,Duplex,4,4,1365.0,1.025953,South,February,-217280.0,Winter,15
128,2009,Greenwich,1400910.0,1900000.0,Single Family,Detached House,3,2,960.0,1.025953,West,March,-499090.0,Spring,15
129,2009,Norwalk,264040.0,569900.0,Single Family,Detached House,3,1,1027.0,1.025953,West,March,-305860.0,Spring,15
130,2009,Greenwich,2098950.0,3000000.0,Single Family,Detached House,3,1,939.0,1.025953,West,March,-901050.0,Spring,15
131,2009,Waterbury,55300.0,48521.0,Single Family,Detached House,3,1,1061.0,1.025953,North,March,6779.0,Spring,15
132,2009,Fairfield,828030.0,1425000.0,Single Family,Detached House,3,3,1024.0,1.025953,South,March,-596970.0,Spring,15
133,2009,Unknown,139300.0,285000.0,Single Family,Detached House,3,3,929.0,1.025953,South,March,-145700.0,Spring,15
134,2009,Unknown,146930.0,289000.0,Single Family,Detached House,3,3,1012.0,1.025953,North,March,-142070.0,Spring,15
135,2009,Unknown,82810.0,191500.0,,Detached House,3,3,1097.0,1.025953,South,March,-108690.0,Spring,15
137,2009,Bridgeport,96600.0,183000.0,Two Family,Duplex,4,3,1426.0,1.025953,East,March,-86400.0,Spring,15
138,2009,Waterbury,92120.0,223000.0,Single Family,Detached House,3,3,937.0,1.025953,West,March,-130880.0,Spring,15
139,2009,Waterbury,55510.0,130000.0,Three Family,Triplex,6,5,2003.0,1.025953,North,March,-74490.0,Spring,15
142,2009,Unknown,369810.0,385000.0,Single Family,Detached House,3,3,1052.0,1.025953,South,March,-15190.0,Spring,15
144,2009,Bridgeport,126070.0,271000.0,Single Family,Detached House,3,1,1052.0,1.025953,West,March,-144930.0,Spring,15
146,2009,Bridgeport,120121.0,278100.0,,Detached House,3,1,1037.0,1.025953,East,March,-157979.0,Spring,15
147,2009,Greenwich,1690010.0,1700000.0,,Detached House,3,2,1037.0,1.025953,South,March,-9990.0,Spring,15
149,2009,Unknown,252980.0,691000.0,,Fourplex,8,7,2429.0,1.025953,West,March,-438020.0,Spring,15
151,2009,Unknown,113750.0,195000.0,Three Family,Triplex,6,6,2004.0,1.025953,West,March,-81250.0,Spring,15
152,2009,Bridgeport,117110.0,267500.0,Single Family,Detached House,3,2,948.0,1.025953,South,March,-150390.0,Spring,15
153,2009,Fairfield,747250.0,1160000.0,Single Family,Detached House,3,1,1024.0,1.025953,South,March,-412750.0,Spring,15
156,2009,Fairfield,4102560.0,7850000.0,Single Family,Detached House,3,2,964.0,1.025953,North,March,-3747440.0,Spring,15
157,2009,Bridgeport,115360.0,233000.0,Two Family,Duplex,4,2,1454.0,1.025953,North,March,-117640.0,Spring,15
158,2009,Waterbury,46980.0,159000.0,Two Family,Duplex,4,4,1226.0,1.025953,East,March,-112020.0,Spring,15
160,2009,Greenwich,1214570.0,2200000.0,Single Family,Detached House,3,1,908.0,1.025953,East,March,-985430.0,Spring,15
161,2009,Norwalk,248788.0,490000.0,Single Family,Detached House,3,1,940.0,1.025953,West,March,-241212.0,Spring,15
162,2009,Bridgeport,166014.0,395000.0,Three Family,Triplex,6,4,2184.0,1.025953,East,March,-228986.0,Spring,15
164,2009,Norwalk,197400.0,340000.0,Single Family,Detached House,3,2,1025.0,1.025953,East,March,-142600.0,Spring,15
165,2009,Waterbury,55860.0,148847.0,Two Family,Duplex,4,2,1339.0,1.025953,East,March,-92987.0,Spring,15
168,2009,Bridgeport,172270.0,285000.0,,Triplex,6,6,2117.0,1.025953,East,March,-112730.0,Spring,15
170,2009,Waterbury,72310.0,157000.0,Single Family,Detached House,3,3,936.0,1.025953,West,March,-84690.0,Spring,15
172,2009,Fairfield,361620.0,525000.0,Single Family,Detached House,3,1,1048.0,1.025953,West,March,-163380.0,Spring,15
174,2009,Fairfield,513240.0,867500.0,Single Family,Detached House,3,2,1089.0,1.025953,North,March,-354260.0,Spring,15
175,2009,Unknown,163310.0,405000.0,Two Family,Duplex,4,2,1467.0,1.025953,West,March,-241690.0,Spring,15
177,2009,Bridgeport,126630.0,269000.0,Single Family,Detached House,3,1,1053.0,1.025953,East,March,-142370.0,Spring,15
179,2009,Norwalk,248150.0,570000.0,Single Family,Detached House,3,2,1078.0,1.025953,West,March,-321850.0,Spring,15
180,2009,Fairfield,355320.0,435000.0,Single Family,Detached House,3,3,1095.0,1.025953,West,March,-79680.0,Spring,15
181,2009,Unknown,88130.0,81250.0,Single Family,Detached House,3,1,1026.0,1.025953,North,March,6880.0,Spring,15
182,2009,Greenwich,1285480.0,2150000.0,Single Family,Detached House,3,2,1021.0,1.025953,West,March,-864520.0,Spring,15
183,2009,Norwalk,219100.0,427000.0,Single Family,Detached House,3,3,1021.0,1.025953,West,March,-207900.0,Spring,15
184,2009,Norwalk,382900.0,777500.0,Single Family,Detached House,3,2,900.0,1.025953,East,March,-394600.0,Spring,15
185,2009,Norwalk,286090.0,520000.0,,Detached House,3,1,1058.0,1.025953,East,March,-233910.0,Spring,15
187,2009,Fairfield,377650.0,450000.0,,Detached House,3,3,1100.0,1.025953,West,March,-72350.0,Spring,15
189,2009,Fairfield,541030.0,750000.0,,Detached House,3,3,1079.0,1.025953,North,March,-208970.0,Spring,15
190,2009,Bridgeport,109130.0,235000.0,Single Family,Detached House,3,3,985.0,1.025953,South,March,-125870.0,Spring,15
191,2009,Bridgeport,72380.0,249900.0,Two Family,Duplex,4,4,1347.0,1.025953,South,March,-177520.0,Spring,15
192,2009,Norwalk,262500.0,412000.0,Single Family,Detached House,3,3,1064.0,1.025953,South,March,-149500.0,Spring,15
193,2009,Greenwich,8028860.0,8236500.0,Single Family,Detached House,3,1,1055.0,1.025953,North,March,-207640.0,Spring,15
194,2009,Fairfield,342930.0,820000.0,Single Family,Detached House,3,2,924.0,1.025953,East,March,-477070.0,Spring,15
195,2009,Waterbury,16660.0,15000.0,Three Family,Triplex,6,4,1978.0,1.025953,South,March,1660.0,Spring,15
197,2009,Bridgeport,155960.0,355000.0,Three Family,Triplex,6,5,2146.0,1.025953,South,March,-199040.0,Spring,15
198,2009,Bridgeport,126420.0,177500.0,Single Family,Detached House,3,3,931.0,1.025953,North,March,-51080.0,Spring,15
199,2009,Waterbury,99260.0,295000.0,Four Family,Fourplex,8,6,2983.0,1.025953,North,March,-195740.0,Spring,15
200,2009,Unknown,2359840.0,3400000.0,Single Family,Detached House,3,3,1062.0,1.025953,South,March,-1040160.0,Spring,15
201,2009,Bridgeport,112910.0,299750.0,Single Family,Detached House,3,3,919.0,1.025953,West,March,-186840.0,Spring,15
204,2009,Waterbury,62930.0,196000.0,Three Family,Triplex,6,5,1953.0,1.025953,South,April,-133070.0,Spring,15
205,2009,Norwalk,224770.0,430000.0,Single Family,Detached House,3,2,1091.0,1.025953,East,April,-205230.0,Spring,15
206,2009,Unknown,53410.0,144000.0,Two Family,Duplex,4,3,1386.0,1.025953,East,April,-90590.0,Spring,15
208,2009,Waterbury,104160.0,269900.0,,Duplex,4,4,1349.0,1.025953,West,April,-165740.0,Spring,15
210,2009,Norwalk,255710.0,462000.0,,Detached House,3,1,1022.0,1.025953,West,April,-206290.0,Spring,15
211,2009,Bridgeport,125370.0,270000.0,Single Family,Detached House,3,1,982.0,1.025953,West,April,-144630.0,Spring,15
212,2009,Waterbury,226660.0,320000.0,Single Family,Detached House,3,2,1061.0,1.025953,East,April,-93340.0,Spring,15
213,2009,Unknown,135801.0,390000.0,Three Family,Triplex,6,5,2143.0,1.025953,South,April,-254199.0,Spring,15
214,2009,Fairfield,387170.0,515000.0,Single Family,Detached House,3,3,1093.0,1.025953,West,April,-127830.0,Spring,15
215,2009,Norwalk,218330.0,407500.0,Single Family,Detached House,3,1,1014.0,1.025953,North,April,-189170.0,Spring,15
216,2009,Waterbury,101430.0,329000.0,Three Family,Triplex,6,6,2019.0,1.025953,North,April,-227570.0,Spring,15
217,2009,Bridgeport,245210.0,445000.0,Single Family,Detached House,3,3,980.0,1.025953,East,April,-199790.0,Spring,15
218,2009,Bridgeport,42420.0,52000.0,Two Family,Duplex,4,2,1372.0,1.025953,South,April,-9580.0,Spring,15
219,2009,Greenwich,1597610.0,3150000.0,Single Family,Detached House,3,1,947.0,1.025953,West,April,-1552390.0,Spring,15
220,2009,Waterbury,129010.0,270000.0,Single Family,Detached House,3,2,991.0,1.025953,West,April,-140990.0,Spring,15
221,2009,Norwalk,812630.0,1695000.0,Single Family,Detached House,3,1,923.0,1.025953,South,April,-882370.0,Spring,15
222,2009,Norwalk,251790.0,425000.0,Single Family,Detached House,3,2,950.0,1.025953,West,April,-173210.0,Spring,15
223,2009,Greenwich,4705820.0,6750000.0,Single Family,Detached House,3,3,986.0,1.025953,North,April,-2044180.0,Spring,15
225,2009,Bridgeport,118440.0,285000.0,Single Family,Detached House,3,1,973.0,1.025953,East,April,-166560.0,Spring,15
226,2009,Greenwich,5630730.0,7000000.0,Single Family,Detached House,3,2,999.0,1.025953,North,April,-1369270.0,Spring,15
227,2009,Bridgeport,176750.0,257000.0,Three Family,Triplex,6,4,1804.0,1.025953,East,April,-80250.0,Spring,15
228,2009,Unknown,77280.0,239900.0,Two Family,Duplex,4,3,1322.0,1.025953,North,April,-162620.0,Spring,15
229,2009,Fairfield,343980.0,410000.0,Single Family,Detached House,3,1,991.0,1.025953,West,April,-66020.0,Spring,15
230,2009,Norwalk,207760.0,375000.0,Single Family,Detached House,3,2,1035.0,1.025953,South,April,-167240.0,Spring,15
231,2009,Greenwich,1120350.0,1575000.0,Single Family,Detached House,3,3,945.0,1.025953,South,April,-454650.0,Spring,15
232,2009,Bridgeport,113680.0,185000.0,Single Family,Detached House,3,3,972.0,1.025953,East,April,-71320.0,Spring,15
233,2009,Greenwich,634200.0,860000.0,Single Family,Detached House,3,3,1083.0,1.025953,North,April,-225800.0,Spring,15
234,2009,Bridgeport,11830.0,206000.0,Single Family,Detached House,3,1,913.0,1.025953,East,April,-194170.0,Spring,15
235,2009,Bridgeport,116060.0,125185.0,Single Family,Detached House,3,2,1024.0,1.025953,South,April,-9125.0,Spring,15
237,2009,Waterbury,66780.0,245000.0,Three Family,Triplex,6,5,1806.0,1.025953,West,April,-178220.0,Spring,15
241,2009,Norwalk,371210.0,605000.0,Single Family,Detached House,3,2,992.0,1.025953,West,April,-233790.0,Spring,15
242,2009,Waterbury,60620.0,164000.0,,Detached House,3,1,1098.0,1.025953,East,April,-103380.0,Spring,15
243,2009,Bridgeport,115850.0,243750.0,Two Family,Duplex,4,2,1241.0,1.025953,North,April,-127900.0,Spring,15
244,2009,Greenwich,2624790.0,2899000.0,Single Family,Detached House,3,3,1044.0,1.025953,East,April,-274210.0,Spring,15
245,2009,Greenwich,443940.0,515000.0,,Detached House,3,1,1018.0,1.025953,South,April,-71060.0,Spring,15
246,2009,Fairfield,521150.0,670000.0,Single Family,Detached House,3,1,996.0,1.025953,North,April,-148850.0,Spring,15
247,2009,Bridgeport,71680.0,164000.0,Single Family,Detached House,3,1,1054.0,1.025953,South,April,-92320.0,Spring,15
249,2009,Waterbury,59710.0,235000.0,,Triplex,6,5,1993.0,1.025953,East,April,-175290.0,Spring,15
250,2009,Unknown,75810.0,193400.0,Two Family,Duplex,4,4,1307.0,1.025953,West,April,-117590.0,Spring,15
251,2009,Greenwich,134330.0,1500000.0,Single Family,Detached House,3,1,913.0,1.025953,South,April,-1365670.0,Spring,15
252,2009,Bridgeport,184800.0,130000.0,Single Family,Detached House,3,3,909.0,1.025953,North,April,54800.0,Spring,15
254,2009,Waterbury,37170.0,84900.0,Single Family,Detached House,3,3,1033.0,1.025953,East,April,-47730.0,Spring,15
257,2009,Greenwich,2179380.0,2650000.0,Single Family,Detached House,3,2,1094.0,1.025953,North,April,-470620.0,Spring,15
258,2009,Fairfield,1291710.0,1750000.0,,Detached House,3,3,950.0,1.025953,North,April,-458290.0,Spring,15
259,2009,Greenwich,641690.0,1200000.0,Single Family,Detached House,3,3,967.0,1.025953,East,April,-558310.0,Spring,15
260,2009,Fairfield,376880.0,710000.0,Single Family,Detached House,3,2,926.0,1.025953,South,April,-333120.0,Spring,15
261,2009,Fairfield,389900.0,389900.0,Single Family,Detached House,3,1,1023.0,1.025953,East,April,0.0,Spring,15
262,2009,Norwalk,340883.0,702500.0,Single Family,Detached House,3,2,945.0,1.025953,South,April,-361617.0,Spring,15
263,2009,Norwalk,248360.0,455000.0,Single Family,Detached House,3,1,1023.0,1.025953,North,April,-206640.0,Spring,15
266,2009,Unknown,397390.0,560000.0,,Detached House,3,3,926.0,1.025953,West,April,-162610.0,Spring,15
267,2009,Waterbury,62580.0,159900.0,Single Family,Detached House,3,3,1041.0,1.025953,East,April,-97320.0,Spring,15
268,2009,Fairfield,433440.0,805000.0,Single Family,Detached House,3,3,1032.0,1.025953,North,April,-371560.0,Spring,15
269,2009,Bridgeport,60831.0,140000.0,Single Family,Detached House,3,3,1061.0,1.025953,North,April,-79169.0,Spring,15
271,2009,Greenwich,699790.0,1265000.0,,Detached House,3,3,922.0,1.025953,West,April,-565210.0,Spring,15
272,2009,Unknown,70210.0,160000.0,Single Family,Detached House,3,3,1008.0,1.025953,West,April,-89790.0,Spring,15
273,2009,Waterbury,104090.0,254000.0,Single Family,Detached House,3,2,1010.0,1.025953,South,April,-149910.0,Spring,15
274,2009,Bridgeport,96390.0,175000.0,,Detached House,3,2,985.0,1.025953,East,April,-78610.0,Spring,15
276,2009,Bridgeport,183330.0,316000.0,Single Family,Detached House,3,3,961.0,1.025953,West,April,-132670.0,Spring,15
278,2009,Norwalk,297780.0,570000.0,Single Family,Detached House,3,2,976.0,1.025953,West,April,-272220.0,Spring,15
280,2009,Fairfield,1150590.0,2000000.0,Single Family,Detached House,3,3,1033.0,1.025953,West,April,-849410.0,Spring,15
282,2009,Greenwich,1313340.0,3200000.0,Single Family,Detached House,3,3,1012.0,1.025953,South,April,-1886660.0,Spring,15
283,2009,Fairfield,412650.0,399000.0,Single Family,Detached House,3,2,1055.0,1.025953,East,April,13650.0,Spring,15
284,2009,Norwalk,304850.0,560000.0,Single Family,Detached House,3,3,1018.0,1.025953,East,April,-255150.0,Spring,15
285,2009,Waterbury,104230.0,243000.0,Single Family,Detached House,3,2,1074.0,1.025953,West,April,-138770.0,Spring,15
287,2009,Waterbury,3500.0,195900.0,Single Family,Detached House,3,2,988.0,1.025953,West,May,-192400.0,Spring,15
288,2009,Unknown,427420.0,610000.0,Single Family,Detached House,3,3,955.0,1.025953,East,May,-182580.0,Spring,15
290,2009,Fairfield,489580.0,715000.0,Single Family,Detached House,3,2,1072.0,1.025953,North,May,-225420.0,Spring,15
291,2009,Waterbury,57470.0,143400.0,,Detached House,3,3,996.0,1.025953,North,May,-85930.0,Spring,15
293,2009,Fairfield,273700.0,456100.0,Single Family,Detached House,3,3,1095.0,1.025953,North,May,-182400.0,Spring,15
296,2009,Norwalk,246330.0,450000.0,Single Family,Detached House,3,3,904.0,1.025953,North,May,-203670.0,Spring,15
297,2009,Greenwich,902440.0,1150000.0,Three Family,Triplex,6,6,2034.0,1.025953,North,May,-247560.0,Spring,15
298,2009,Norwalk,384440.0,722500.0,Single Family,Detached House,3,1,1096.0,1.025953,South,May,-338060.0,Spring,15
299,2009,Fairfield,1064840.0,1550000.0,Single Family,Detached House,3,2,1015.0,1.025953,West,May,-485160.0,Spring,15
300,2009,Fairfield,278670.0,398000.0,Single Family,Detached House,3,2,1036.0,1.025953,East,May,-119330.0,Spring,15
301,2009,Norwalk,325290.0,400000.0,Single Family,Detached House,3,1,1059.0,1.025953,West,May,-74710.0,Spring,15
302,2009,Waterbury,105140.0,188000.0,Single Family,Detached House,3,3,1077.0,1.025953,West,May,-82860.0,Spring,15
303,2009,Fairfield,333130.0,435000.0,,Detached House,3,1,1058.0,1.025953,North,May,-101870.0,Spring,15
304,2009,Greenwich,1539440.0,1650000.0,Single Family,Detached House,3,2,1020.0,1.025953,South,May,-110560.0,Spring,15
305,2009,Bridgeport,104580.0,226000.0,Single Family,Detached House,3,2,1078.0,1.025953,North,May,-121420.0,Spring,15
306,2009,Greenwich,1247680.0,2650000.0,Single Family,Detached House,3,1,1093.0,1.025953,North,May,-1402320.0,Spring,15
308,2009,Norwalk,186620.0,412000.0,,Detached House,3,1,1038.0,1.025953,North,May,-225380.0,Spring,15
309,2009,Bridgeport,150640.0,307500.0,Three Family,Triplex,6,4,2180.0,1.025953,North,May,-156860.0,Spring,15
